Country,Col.Name,Country.Code,Download.Code
Asia-Pacific,AC.ASIA.PACIFIC.VALUE.Standard..Large.Mid.Cap..Value,__AP_V,"3094,V,36"
Europe,AC.EUROPE.VALUE.Standard..Large.Mid.Cap..,__EU_V,"3103,C,36"
Australia,AUSTRALIA.GROWTH.Standard..Large.Mid.Cap..Growth,AU_G,"2896,G,30"
Austria,AUSTRIA.GROWTH.Standard..Large.Mid.Cap..Growth,AT_G,"2898,G,30"
Belgium,BELGIUM.GROWTH.Standard..Large.Mid.Cap..Growth,BE_G,"2900,G,30"
Brazil,BRAZIL.GROWTH.Standard..Large.Mid.Cap..Growth,BR_G,"3002,G,30"
Canada,CANADA.GROWTH.Standard..Large.Mid.Cap..Growth,CA_G,"2902,G,30"
Chile,CHILE.GROWTH.Standard..Large.Mid.Cap..Growth,CL_G,"3004,G,30"
China,CHINA.GROWTH.Standard..Large.Mid.Cap..Growth,CN_G,"3006,G,30"
Colombia,COLOMBIA.GROWTH.Standard..Large.Mid.Cap..Growth,CO_G,"3008,G,30"
Czech Republic,CZECH.REPUBLIC.GROWTH.Standard..Large.Mid.Cap..Growth,CZ_G,"3010,G,30"
Denmark,DENMARK.GROWTH.Standard..Large.Mid.Cap..Growth,DK_G,"2904,G,30"
Egypt,EGYPT.GROWTH.Standard..Large.Mid.Cap..Growth,EG_G,"3012,G,30"
Finland,FINLAND.GROWTH.Standard..Large.Mid.Cap..Growth,FI_G,"2908,G,30"
France,FRANCE.GROWTH.Standard..Large.Mid.Cap..Growth,FR_G,"2910,G,30"
Germany,GERMANY.GROWTH.Standard..Large.Mid.Cap..Growth,DE_G,"2912,G,30"
Greece,GREECE.GROWTH.Standard..Large.Mid.Cap..Growth,GR_G,"3014,G,30"
Hong Kong,HONG.KONG.GROWTH.Standard..Large.Mid.Cap..Growth,HK_G,"2914,G,30"
Hungary,HUNGARY.GROWTH.Standard..Large.Mid.Cap..Growth,HU_G,"3016,G,30"
India,INDIA.GROWTH.Standard..Large.Mid.Cap..Growth,IN_G,"3018,G,30"
Indonesia,INDONESIA.GROWTH.Standard..Large.Mid.Cap..Growth,ID_G,"3020,G,30"
Ireland,IRELAND.GROWTH.Standard..Large.Mid.Cap..Growth,IE_G,"2916,G,30"
Israel,ISRAEL.GROWTH.Standard..Large.Mid.Cap..Growth,IL_G,"3024,G,30"
Italy,ITALY.GROWTH.Standard..Large.Mid.Cap..Growth,IT_G,"2918,G,30"
Japan,JAPAN.GROWTH.Standard..Large.Mid.Cap..Growth,JP_G,"2920,G,30"
"Korea, Republic of",KOREA.GROWTH.Standard..Large.Mid.Cap..Growth,KR_G,"3030,G,30"
Malaysia,MALAYSIA.GROWTH.Standard..Large.Mid.Cap..Growth,MY_G,"17250,G,30"
Mexico,MEXICO.GROWTH.Standard..Large.Mid.Cap..Growth,MX_G,"3036,G,30"
Netherlands,NETHERLANDS.GROWTH.Standard..Large.Mid.Cap..Growth,NL_G,"2926,G,30"
New Zealand,NEW.ZEALAND.GROWTH.Standard..Large.Mid.Cap..Growth,NZ_G,"2928,G,30"
Norway,NORWAY.GROWTH.Standard..Large.Mid.Cap..Growth,NO_G,"2932,G,30"
Peru,PERU.GROWTH.Standard..Large.Mid.Cap..Growth,PE_G,"3042,G,30"
Philippines,PHILIPPINES.GROWTH.Standard..Large.Mid.Cap..Growth,PH_G,"3044,G,30"
Poland,POLAND.GROWTH.Standard..Large.Mid.Cap..Growth,PL_G,"3048,G,30"
Portugal,PORTUGAL.GROWTH.Standard..Large.Mid.Cap..Growth,PT_G,"3050,G,30"
Qatar,QATAR.GROWTH.Standard..Large.Mid.Cap..Growth,QA_G,"104952,G,30"
Russian Federation,RUSSIA.GROWTH.Standard..Large.Mid.Cap..Growth,RU_G,"3052,G,30"
Singapore,SINGAPORE.GROWTH.Standard..Large.Mid.Cap..Growth,SG_G,"2936,G,30"
South Africa,SOUTH.AFRICA.GROWTH.Standard..Large.Mid.Cap..Growth,ZA_G,"3054,G,30"
Spain,SPAIN.GROWTH.Standard..Large.Mid.Cap..Growth,ES_G,"2938,G,30"
Sweden,SWEDEN.GROWTH.Standard..Large.Mid.Cap..Growth,SE_G,"2942,G,30"
Switzerland,SWITZERLAND.GROWTH.Standard..Large.Mid.Cap..Growth,CH_G,"2946,G,30"
